t,Course,Hole,Par,Player,Hits,Diff,Team
1,Maroon,1,3,Alan,4,1,2
2,Maroon,2,2,Alan,3,1,2
3,Maroon,3,2,Alan,3,1,2
4,Maroon,4,2,Alan,3,1,2
5,Maroon,5,2,Alan,2,0,2
6,Maroon,6,2,Alan,3,1,2
7,Maroon,7,3,Alan,2,-1,2
8,Maroon,8,3,Alan,3,0,2
9,Maroon,9,2,Alan,2,0,2
10,Maroon,10,2,Alan,3,1,2
11,Maroon,11,2,Alan,3,1,2
12,Maroon,12,2,Alan,4,2,2
13,Maroon,13,2,Alan,4,2,2
14,Maroon,14,2,Alan,5,3,2
15,Maroon,15,3,Alan,3,0,2
16,Maroon,16,2,Alan,4,2,2
17,Maroon,17,2,Alan,2,0,2
18,Maroon,18,3,Alan,3,0,2
19,White,1,3,Alan,3,0,2
20,White,2,3,Alan,2,-1,2
21,White,3,2,Alan,3,1,2
22,White,4,2,Alan,3,1,2
23,White,5,2,Alan,2,0,2
24,White,6,3,Alan,3,0,2
25,White,7,2,Alan,3,1,2
26,White,8,2,Alan,2,0,2
27,White,9,2,Alan,3,1,2
28,White,10,2,Alan,5,3,2
29,White,11,3,Alan,3,0,2
30,White,12,2,Alan,3,1,2
31,White,13,2,Alan,3,1,2
32,White,14,2,Alan,2,0,2
33,White,15,2,Alan,5,3,2
34,White,16,2,Alan,2,0,2
35,White,17,2,Alan,4,2,2
36,White,18,3,Alan,3,0,2
1,Maroon,1,3,Javi,4,1,2
2,Maroon,2,2,Javi,4,2,2
3,Maroon,3,2,Javi,4,2,2
4,Maroon,4,2,Javi,3,1,2
5,Maroon,5,2,Javi,2,0,2
6,Maroon,6,2,Javi,4,2,2
7,Maroon,7,3,Javi,5,2,2
8,Maroon,8,3,Javi,5,2,2
9,Maroon,9,2,Javi,2,0,2
10,Maroon,10,2,Javi,2,0,2
11,Maroon,11,2,Javi,4,2,2
12,Maroon,12,2,Javi,2,0,2
13,Maroon,13,2,Javi,2,0,2
14,Maroon,14,2,Javi,3,1,2
15,Maroon,15,3,Javi,4,1,2
16,Maroon,16,2,Javi,2,0,2
17,Maroon,17,2,Javi,2,0,2
18,Maroon,18,3,Javi,4,1,2
19,White,1,3,Javi,5,2,2
20,White,2,3,Javi,2,-1,2
21,White,3,2,Javi,2,0,2
22,White,4,2,Javi,3,1,2
23,White,5,2,Javi,4,2,2
24,White,6,3,Javi,3,0,2
25,White,7,2,Javi,3,1,2
26,White,8,2,Javi,4,2,2
27,White,9,2,Javi,5,3,2
28,White,10,2,Javi,2,0,2
29,White,11,3,Javi,2,-1,2
30,White,12,2,Javi,2,0,2
31,White,13,2,Javi,3,1,2
32,White,14,2,Javi,1,-1,2
33,White,15,2,Javi,3,1,2
34,White,16,2,Javi,3,1,2
35,White,17,2,Javi,2,0,2
36,White,18,3,Javi,5,2,2
1,Maroon,1,3,Kazuki,2,-1,2
2,Maroon,2,2,Kazuki,5,3,2
3,Maroon,3,2,Kazuki,4,2,2
4,Maroon,4,2,Kazuki,6,4,2
5,Maroon,5,2,Kazuki,5,3,2
6,Maroon,6,2,Kazuki,3,1,2
7,Maroon,7,3,Kazuki,4,1,2
8,Maroon,8,3,Kazuki,5,2,2
9,Maroon,9,2,Kazuki,3,1,2
10,Maroon,10,2,Kazuki,3,1,2
11,Maroon,11,2,Kazuki,3,1,2
12,Maroon,12,2,Kazuki,3,1,2
13,Maroon,13,2,Kazuki,4,2,2
14,Maroon,14,2,Kazuki,3,1,2
15,Maroon,15,3,Kazuki,3,0,2
16,Maroon,16,2,Kazuki,2,0,2
17,Maroon,17,2,Kazuki,3,1,2
18,Maroon,18,3,Kazuki,5,2,2
19,White,1,3,Kazuki,3,0,2
20,White,2,3,Kazuki,1,-2,2
21,White,3,2,Kazuki,2,0,2
22,White,4,2,Kazuki,2,0,2
23,White,5,2,Kazuki,2,0,2
24,White,6,3,Kazuki,2,-1,2
25,White,7,2,Kazuki,2,0,2
26,White,8,2,Kazuki,2,0,2
27,White,9,2,Kazuki,3,1,2
28,White,10,2,Kazuki,3,1,2
